"";"Date";"Team_home";"Team_away";"Final_H";"Final_A";"nb_matchs";"unique_teamgoal";"pdata";"pred"
"1";2019-04-06;"Angers SCO";"Stade Rennais FC";3;3;31;0;0,248680846577751;0
"2";2019-03-31;"Amiens SC";"Girondins de Bordeaux";0;0;30;1;0,543523653168959;1
"3";2019-03-17;"Paris Saint-Germain";"Olympique de Marseille";3;1;28;0;0,223572096135503;0
"4";2019-03-16;"Angers SCO";"Amiens SC";0;0;29;1;0,452138864467509;0
"5";2019-03-10;"AS Saint-Etienne";"LOSC";0;1;28;1;0,238198895487972;0
"6";2019-03-03;"OGC Nice";"RC Strasbourg Alsace";1;0;27;1;0,527666713546151;1
"7";2019-03-03;"Olympique Lyonnais";"Toulouse FC";5;1;27;0;0,591348138241003;1
"8";2019-03-02;"SM Caen";"Paris Saint-Germain";1;2;27;0;0,266175797342769;0
"9";2019-02-23;"Amiens SC";"OGC Nice";1;0;26;1;0,710448721921784;1
"10";2019-02-17;"Stade de Reims";"Stade Rennais FC";2;0;25;1;0,218819674219329;0
"11";2019-02-15;"Olympique Lyonnais";"EA Guingamp";2;1;25;0;0,668461637413103;1
"12";2019-02-10;"Toulouse FC";"Stade de Reims";1;1;24;0;0,675530884622519;1
"13";2019-02-10;"Stade Rennais FC";"AS Saint-Etienne";3;0;24;1;0,518312134710001;1
"14";2019-02-09;"Amiens SC";"SM Caen";1;0;24;1;0,693077223010741;1
"15";2019-02-02;"Stade Rennais FC";"Amiens SC";1;0;23;1;0,627582054535884;1
"16";2019-01-26;"OGC Nice";"Nîmes Olympique";2;0;22;1;0,776582480807219;1
"17";2019-01-19;"Paris Saint-Germain";"EA Guingamp";9;0;19;1;0,562568197577729;1
"18";2019-01-19;"AS Monaco";"RC Strasbourg Alsace";1;5;21;0;0,318065990779974;0
"19";2019-01-19;"Nîmes Olympique";"Toulouse FC";0;1;20;1;0,465121394276711;0
"20";2019-01-13;"FC Nantes";"Stade Rennais FC";0;1;19;1;0,272602286659276;0
"21";2019-01-12;"OGC Nice";"Girondins de Bordeaux";1;0;19;1;1,0144706398748;1
"22";2018-12-22;"AS Monaco";"EA Guingamp";0;2;18;1;0,689520922176217;1
"23";2018-12-16;"OGC Nice";"AS Saint-Etienne";1;1;17;0;0,846950948242775;1
"24";2018-12-09;"LOSC";"Stade de Reims";1;1;17;0;0,579543426468627;1
"25";2018-12-05;"Girondins de Bordeaux";"AS Saint-Etienne";3;2;16;0;0,408444015348108;0
"26";2018-12-04;"Montpellier Hérault SC";"LOSC";0;1;16;1;0,317913930647428;0
"27";2018-11-25;"Montpellier Hérault SC";"Stade Rennais FC";2;2;14;0;0,254657961828141;0
"28";2018-11-25;"Amiens SC";"Olympique de Marseille";1;3;14;0;0,275414934879347;0
"29";2018-11-24;"Paris Saint-Germain";"Toulouse FC";1;0;14;1;0,438550397332417;0
"30";2018-11-24;"SM Caen";"AS Monaco";0;1;14;1;0,352453514486212;0
"31";2018-11-24;"Dijon FCO";"Girondins de Bordeaux";0;0;14;1;0,87054093332392;1
"32";2018-11-24;"FC Nantes";"Angers SCO";1;1;14;0;0,453778586522821;0
"33";2018-11-10;"AS Saint-Etienne";"Stade de Reims";2;0;13;1;0,500643657876245;1
"34";2018-11-09;"LOSC";"RC Strasbourg Alsace";0;0;13;1;0,154346015742656;0
"35";2018-11-03;"Dijon FCO";"Nîmes Olympique";0;4;12;1;0,706745780297446;1
"36";2018-11-03;"RC Strasbourg Alsace";"Toulouse FC";1;1;12;0;0,450963369877352;0
"37";2018-10-28;"Olympique de Marseille";"Paris Saint-Germain";0;2;11;1;0,391383514936517;0
"38";2018-10-27;"Angers SCO";"Olympique Lyonnais";1;2;11;0;0,411644624072811;0
"39";2018-10-27;"Toulouse FC";"Montpellier Hérault SC";0;3;11;1;0,51516759862905;1
"40";2018-10-21;"AS Saint-Etienne";"Stade Rennais FC";1;1;10;0;0,0563890310794967;0
"41";2018-10-20;"Stade de Reims";"Angers SCO";1;1;10;0;-0,0305876590898145;0
"42";2018-10-19;"Olympique Lyonnais";"Nîmes Olympique";2;0;10;1;0,549986957216121;1
"43";2018-10-07;"Olympique de Marseille";"SM Caen";2;0;9;1;0,611895667128676;1
"44";2018-10-07;"Paris Saint-Germain";"Olympique Lyonnais";5;0;9;1;0,426629353437344;0
"45";2018-10-06;"Amiens SC";"Dijon FCO";1;0;9;1;0,848683395791402;1
"46";2018-10-06;"Nîmes Olympique";"Stade de Reims";0;0;9;1;0,573018896607581;1
"47";2019-05-25;"Amiens SC";"EA Guingamp";NA;NA;31;NA;0,461798701978769;0
"48";2019-05-25;"Angers SCO";"AS Saint-Etienne";NA;NA;31;NA;0,36694891752332;0
"49";2019-05-25;"SM Caen";"Girondins de Bordeaux";NA;NA;31;NA;0,485422984441691;0
"50";2019-05-25;"Dijon FCO";"Toulouse FC";NA;NA;31;NA;0,490501595258456;0
"51";2019-05-25;"Olympique de Marseille";"Montpellier Hérault SC";NA;NA;31;NA;0,500307410229765;1
"52";2019-05-25;"FC Nantes";"RC Strasbourg Alsace";NA;NA;30;NA;0,199249400730428;0
"53";2019-05-25;"OGC Nice";"AS Monaco";NA;NA;31;NA;0,695980658084094;1
"54";2019-05-25;"Nîmes Olympique";"Olympique Lyonnais";NA;NA;31;NA;0,304696724447154;0
"55";2019-05-25;"Stade de Reims";"Paris Saint-Germain";NA;NA;31;NA;0,366703103507718;0
"56";2019-05-25;"Stade Rennais FC";"LOSC";NA;NA;31;NA;0,278666112008025;0
"57";2019-05-18;"Girondins de Bordeaux";"Stade de Reims";NA;NA;31;NA;0,304145351556966;0
"58";2019-05-18;"EA Guingamp";"Nîmes Olympique";NA;NA;31;NA;0,24943253246861;0
"59";2019-05-18;"LOSC";"Angers SCO";NA;NA;31;NA;0,608932735424189;1
"60";2019-05-18;"Olympique Lyonnais";"SM Caen";NA;NA;31;NA;0,760722773911273;1
"61";2019-05-18;"AS Monaco";"Amiens SC";NA;NA;31;NA;0,640449158992294;1
"62";2019-05-18;"Montpellier Hérault SC";"FC Nantes";NA;NA;31;NA;0,78197788720979;1
"63";2019-05-18;"Paris Saint-Germain";"Dijon FCO";NA;NA;30;NA;0,629843274891751;1
"64";2019-05-18;"AS Saint-Etienne";"OGC Nice";NA;NA;31;NA;0,644135216487115;1
"65";2019-05-18;"RC Strasbourg Alsace";"Stade Rennais FC";NA;NA;31;NA;0,212624274940887;0
"66";2019-05-18;"Toulouse FC";"Olympique de Marseille";NA;NA;31;NA;0,269877051474343;0
"67";2019-05-12;"Olympique de Marseille";"Olympique Lyonnais";NA;NA;31;NA;0,392090562194556;0
"68";2019-05-11;"Amiens SC";"Toulouse FC";NA;NA;31;NA;0,341111186739133;0
"69";2019-05-11;"Angers SCO";"Paris Saint-Germain";NA;NA;31;NA;0,396860220488425;0
"70";2019-05-11;"SM Caen";"Stade de Reims";NA;NA;31;NA;0,358122106689904;0
"71";2019-05-11;"Dijon FCO";"RC Strasbourg Alsace";NA;NA;31;NA;0,372153206716913;0
"72";2019-05-11;"LOSC";"Girondins de Bordeaux";NA;NA;31;NA;0,759030860291961;1
"73";2019-05-11;"OGC Nice";"FC Nantes";NA;NA;31;NA;0,940157829895617;1
"74";2019-05-11;"Nîmes Olympique";"AS Monaco";NA;NA;31;NA;0,448678912072406;0
"75";2019-05-11;"Stade Rennais FC";"EA Guingamp";NA;NA;31;NA;0,557397949659653;1
"76";2019-05-11;"AS Saint-Etienne";"Montpellier Hérault SC";NA;NA;31;NA;0,499361905224151;0
"77";2019-05-04;"Girondins de Bordeaux";"Angers SCO";NA;NA;31;NA;0,281348104440981;0
"78";2019-05-04;"EA Guingamp";"SM Caen";NA;NA;31;NA;0,46814315060727;0
"79";2019-05-04;"Olympique Lyonnais";"LOSC";NA;NA;31;NA;0,459651226394257;0
"80";2019-05-04;"AS Monaco";"AS Saint-Etienne";NA;NA;31;NA;0,514132390629076;1
"81";2019-05-04;"Montpellier Hérault SC";"Amiens SC";NA;NA;31;NA;0,599970349261717;1
"82";2019-05-04;"FC Nantes";"Dijon FCO";NA;NA;30;NA;0,506680605171468;1
"83";2019-05-04;"Paris Saint-Germain";"OGC Nice";NA;NA;30;NA;0,588291917684861;1
"84";2019-05-04;"Stade de Reims";"Nîmes Olympique";NA;NA;31;NA;0,286732054989059;0
"85";2019-05-04;"RC Strasbourg Alsace";"Olympique de Marseille";NA;NA;31;NA;0,264745463719946;0
"86";2019-05-04;"Toulouse FC";"Stade Rennais FC";NA;NA;31;NA;0,217755862695284;0
"87";2019-05-01;"Stade Rennais FC";"AS Monaco";NA;NA;31;NA;0,475233921439703;0
"88";2019-04-30;"Montpellier Hérault SC";"Paris Saint-Germain";NA;NA;31;NA;0,503564883863604;1
"89";2019-04-28;"Amiens SC";"RC Strasbourg Alsace";NA;NA;31;NA;0,22276279819759;0
"90";2019-04-28;"Angers SCO";"Stade de Reims";NA;NA;31;NA;0,407561163241464;0
"91";2019-04-28;"SM Caen";"Dijon FCO";NA;NA;31;NA;0,532216324351338;1
"92";2019-04-28;"LOSC";"Nîmes Olympique";NA;NA;31;NA;0,541057991268475;1
"93";2019-04-28;"OGC Nice";"EA Guingamp";NA;NA;31;NA;0,778144686304044;1
"94";2019-04-28;"AS Saint-Etienne";"Toulouse FC";NA;NA;31;NA;0,496603757794507;0
"95";2019-04-28;"Olympique de Marseille";"FC Nantes";NA;NA;31;NA;0,78024992163133;1
"96";2019-04-26;"Girondins de Bordeaux";"Olympique Lyonnais";NA;NA;31;NA;0,183698052713338;0
"97";2019-04-21;"FC Nantes";"Amiens SC";NA;NA;30;NA;0,418290910155107;0
"98";2019-04-21;"Toulouse FC";"LOSC";NA;NA;31;NA;0,239873929889561;0
"99";2019-04-21;"Stade de Reims";"AS Saint-Etienne";NA;NA;31;NA;0,336791800542613;0
"100";2019-04-21;"Paris Saint-Germain";"AS Monaco";NA;NA;30;NA;0,47928394601194;0
"101";2019-04-20;"EA Guingamp";"Olympique de Marseille";NA;NA;31;NA;0,197074724675036;0
"102";2019-04-20;"Dijon FCO";"Stade Rennais FC";NA;NA;31;NA;0,310339205652187;0
"103";2019-04-20;"OGC Nice";"SM Caen";NA;NA;31;NA;0,800484396169432;1
"104";2019-04-20;"Nîmes Olympique";"Girondins de Bordeaux";NA;NA;31;NA;0,552444901042569;1
"105";2019-04-20;"RC Strasbourg Alsace";"Montpellier Hérault SC";NA;NA;31;NA;0,3955448119768;0
"106";2019-04-19;"Olympique Lyonnais";"Angers SCO";NA;NA;31;NA;0,609886899928327;1
"107";2019-04-17;"FC Nantes";"Paris Saint-Germain";NA;NA;30;NA;0,321885444756994;0
"108";2019-04-14;"Montpellier Hérault SC";"Toulouse FC";NA;NA;31;NA;0,499277228378581;0
"109";2019-04-14;"Stade Rennais FC";"OGC Nice";NA;NA;31;NA;0,584241893112624;1
"110";2019-04-14;"AS Saint-Etienne";"Girondins de Bordeaux";NA;NA;31;NA;0,638893233784357;1
"111";2019-04-14;"LOSC";"Paris Saint-Germain";NA;NA;31;NA;0,621029039787135;1
"112";2019-04-13;"Olympique de Marseille";"Nîmes Olympique";NA;NA;31;NA;0,421865869766485;0
"113";2019-04-13;"SM Caen";"Angers SCO";NA;NA;31;NA;0,335324859573919;0
"114";2019-04-13;"AS Monaco";"Stade de Reims";NA;NA;31;NA;0,554744636347221;1
"115";2019-04-13;"RC Strasbourg Alsace";"EA Guingamp";NA;NA;31;NA;0,513474179786792;1
"116";2019-04-12;"Dijon FCO";"Amiens SC";NA;NA;31;NA;0,591194716141593;1
"117";2019-04-12;"FC Nantes";"Olympique Lyonnais";NA;NA;30;NA;0,212139088666406;0
"118";2019-01-15;"Angers SCO";"Girondins de Bordeaux";1;2;19;0;0,340130309559755;0
"119";2018-11-11;"AS Monaco";"Paris Saint-Germain";0;4;13;1;0,344808688106802;0
"120";2018-12-02;"Girondins de Bordeaux";"Paris Saint-Germain";2;2;15;0;0,404323316468685;0
"121";2019-01-13;"Toulouse FC";"RC Strasbourg Alsace";1;2;19;0;0,326529556407698;0
"122";2019-02-10;"OGC Nice";"Olympique Lyonnais";1;0;24;1;0,65894936524109;1
"123";2019-03-02;"Angers SCO";"AS Monaco";2;2;27;0;0,369217925337835;0
"124";2019-04-01;"AS Saint-Etienne";"Nîmes Olympique";2;1;30;0;0,445866265081547;0
"125";2018-11-24;"RC Strasbourg Alsace";"Nîmes Olympique";0;1;14;1;0,397289233141341;0
"126";2018-12-22;"RC Strasbourg Alsace";"OGC Nice";2;0;19;1;0,858135743059426;1
"127";2019-04-06;"Olympique Lyonnais";"Dijon FCO";1;3;31;0;0,736658179817653;1
"128";2018-12-01;"LOSC";"Olympique Lyonnais";2;2;15;0;0,125594860312991;0
"129";2018-12-22;"Paris Saint-Germain";"FC Nantes";1;0;17;1;0,603771630473502;1
"130";2019-04-05;"Girondins de Bordeaux";"Olympique de Marseille";2;0;31;1;0,334029432138046;0
"131";2018-12-08;"EA Guingamp";"Amiens SC";1;2;17;0;0,598989400963328;1
"132";2018-11-23;"Olympique Lyonnais";"AS Saint-Etienne";1;0;14;1;0,545732892456243;1
"133";2018-10-27;"LOSC";"SM Caen";1;0;11;1;0,430512269492546;0
"134";2019-02-22;"RC Strasbourg Alsace";"LOSC";1;1;26;0;0,292774676575191;0
"135";2018-12-01;"AS Monaco";"Montpellier Hérault SC";1;2;15;0;0,456233059851806;0
"136";2019-03-31;"Toulouse FC";"Paris Saint-Germain";0;1;30;1;0,439257453086016;0
"137";2019-01-23;"Nîmes Olympique";"Angers SCO";3;1;21;0;0,517676488608604;1
"138";2019-01-08;"FC Nantes";"Montpellier Hérault SC";2;0;18;1;0,583101942169636;1
"139";2019-03-15;"OGC Nice";"Toulouse FC";1;1;29;0;0,546358790479416;1
"140";2018-12-05;"Olympique Lyonnais";"Stade Rennais FC";0;2;16;1;0,272654013628395;0
"141";2019-02-13;"AS Saint-Etienne";"RC Strasbourg Alsace";2;1;24;0;0,293079036495188;0
"142";2019-02-08;"Dijon FCO";"Olympique de Marseille";1;2;23;0;0,411899936760603;0
"143";2019-03-03;"LOSC";"Dijon FCO";1;0;27;1;0,784324650748284;1
"144";2019-03-09;"Amiens SC";"Nîmes Olympique";2;1;28;0;0,316506092609426;0
"145";2018-11-02;"Paris Saint-Germain";"LOSC";2;1;12;0;0,216020577847683;0
"146";2019-03-09;"AS Monaco";"Girondins de Bordeaux";1;1;28;0;0,624148785899636;1
"147";2019-04-07;"Stade de Reims";"LOSC";1;1;31;0;0,190376093285235;0
